Barrier ID,Internal Name,Watercourse Name,Road Name,Structure Name,Passability Status (AS),Passability Status (AE),Passability Status (SM),Owner,Number Barriers Group (AS),Number Barriers Group (AE),Number Barriers Group (SM),Total Habitat Gain in Set - AS (km),Total Habitat Gain in Set - AE (km),Total Habitat Gain in Set - SM (km),Weighted Habitat Gain in Set - AS (km),Weighted Habitat Gain in Set - AE (km),Weighted Habitat Gain in Set - SM (km),Upstream Habitat Quality,Priority,Next Steps,Reason,Notes
95e0201d-24af-4a37-9c2c-c9bcdaf91592,Naufrage River - stream crossing 3,Naufrage River,Church Road,Stream crossing - CBS,0.5,,,,2,,,4.7,,,2.4,,,High,Low,Engage with barrier owner,,"During our assessment of this structure we saw the presence of several fish upstream (likely Brook Trout). The culvert was visited in high and low flow events. The culvert is relatively new and in  good condition, but it is a closed bottom structure that is not embedded and there could be a  potential barrier in low flow. Recommendation: Baffles are needed throughout the culvert."
87aefbb4-6d49-44d7-91ba-65f7447b13f5,Larkin's Pond,Naufrage River,Mill Rd,Dam,0.25,,,Ducks Unlimited,1,,,26.1,,,19.6,,,High,High,Fundraise,,Denil fish ladder present
b924ccbf-795d-4d42-a10a-a6b65a688707,Bear River beach,Bear River,Bear Shore Rd is nearest road,Other,,,,,,,,,,,,,,Medium,High,Rehabilitation,,Temporary fish passage was created (by diverting water into a deeper channel) and removing rock beavers. Barrier needs a long-term solution for salmon spawning run in the fall
6c5b743e-16ac-4d0b-9f18-741ca773cb00,Hay River beach ,Hay River,Leopold Ln,Dam,0.5,,,,1,,,6.7,,,3.3,,,High,High,Engage in public consultation,,"Multiple barrier site: barrier beach, 9 ft culvert with a fishway, and Johnston's Pond dam owned by Ducks Unlimited. Culvert was apparently replaced in 2020 but may not be working and causing fish passage issues.; The culvert is heavily degraded and sagging extensively, although technically still allowing for fish passage. The dam and fish ladder, however, is extremely fast flowing water and SAB mentioned that in certain flow conditions, fish would get stuck in the non-fish ladder side. "
59f2c06b-e33f-4a36-910b-3aa5226f575f,Bermuda Triangle,Bear River,Northside Rd - Rte 16,Stream crossing - CBS,0.75,,,,3,,,10.2,,,5.8,,,High,High,Engage with barrier owner,,"Alaskan fishway installed on hanging culvert - likely partial barrier due to fishway presence; Participants noted this may be a full barrier to smelt. Possibly no passage issues for eel and salmon. This culvert has an Alaskan fishway. ;This site it is located at the intersection of three roads (Bear River Rd X Northside Rd). The water flows downstream through an open arch culvert with a fish ladder and exits out a long, closed wooden box culvert. The space between both barriers is maybe ~15 ft and bordered by rock crib wall on both sides. A portion of the bottom of the box culvert at the outflow is degraded and leaking. Based on a visual assessment only, it could be a velocity-depth barrier at some point in low flows. Potential recommendations were made to add wood plank to one of the openings (river right) to force water to one side during low-flow events and allow passage on either side during high-flow events. "
12bf33df-e292-4171-8c4b-ec5a8005786f,Naufrage River - stream crossing 1,Naufrage River,Hermitage,Stream crossing - CBS,0.5,,,,1,,,1.4,,,0.7,,,Low,Medium,Engage with barrier owner,,
870159b1-13f3-4b0c-8822-8f8a3e602be5,North Lake Creek - stream crossing 2,North Lake Creek,Munns Rd,Stream crossing - CBS,0,,,,1,,,2.8,,,2.8,,,High,High,Engage with barrier owner,,
2574c4bf-6f5d-45a4-95dd-2e17e5d7879e,North Lake Creek - stream crossing 3,North Lake Creek,Baltic Rd - Rte 302,Stream crossing - CBS,0.5,,,,1,,,2,,,1,,,Low,High,Engage with barrier owner,,
f44dbb6a-3ebd-4df9-b92b-1ff000905a5b,NLC Culvert DS of Dixon's (Millers) Dam,North Lake Creek,Baltic Rd - Rte 302,Stream crossing - CBS,,,,,,,,,,,,,,High,High,Engage with barrier owner,,
614d1ef8-2993-4c21-85bd-1beda2a4078e,Cross River culvert DS of McInnis Dam,Cross River,Souris Line Rd,Stream crossing - CBS,1,,,,,,,,,,,,,,,,,"This structure appears passable to salmon and eel, but potentially a barrier to smelt; Overall, the rock ramp appears to be functioning well and still in good condition. Debris from Fiona was cleared here. The culvert itself was soft on the bottom, blown out and leaking in areas near the outflow. The plunge pool was very deep and so completing full measurements in this area was challenging. "
6c7376c5-52a1-49d1-b97d-5867ba85d5ae,Old Mill Creek Bridge,North Lake Creek,Mill Rd,Stream crossing - OBS,,,,,,,,,,,,,,High,High,Rehabilitation,,
87aefbb4-6d49-44d7-91ba-65f7447b13f5,Larkin's Pond,Naufrage River,Mill Rd,Dam,,,0.25,Ducks Unlimited,,,,,,,,,,High,High,Fundraise,,Denil fish ladder present
b924ccbf-795d-4d42-a10a-a6b65a688707,Bear River beach,Bear River,Bear Shore Rd is nearest road,Other,,,,,,,,,,,,,,Medium,High,Rehabilitation,,Temporary fish passage was created (by diverting water into a deeper channel) and removing rock beavers. Barrier needs a long-term solution for salmon spawning run in the fall
6c5b743e-16ac-4d0b-9f18-741ca773cb00,Hay River beach ,Hay River,Leopold Ln,Dam,,,0,,,,1,,,2.3,,,2.3,High,High,Engage in public consultation,,"Multiple barrier site: barrier beach, 9 ft culvert with a fishway, and Johnston's Pond dam owned by Ducks Unlimited. Culvert was apparently replaced in 2020 but may not be working and causing fish passage issues.; The culvert is heavily degraded and sagging extensively, although technically still allowing for fish passage. The dam and fish ladder, however, is extremely fast flowing water and SAB mentioned that in certain flow conditions, fish would get stuck in the non-fish ladder side. "
59f2c06b-e33f-4a36-910b-3aa5226f575f,Bermuda Triangle,Bear River,Northside Rd - Rte 16,Stream crossing - CBS,,,0.5,,,,4,,,10.4,,,6.9,High,High,Engage with barrier owner,,"Alaskan fishway installed on hanging culvert - likely partial barrier due to fishway presence; Participants noted this may be a full barrier to smelt. Possibly no passage issues for eel and salmon. This culvert has an Alaskan fishway. ;This site it is located at the intersection of three roads (Bear River Rd X Northside Rd). The water flows downstream through an open arch culvert with a fish ladder and exits out a long, closed wooden box culvert. The space between both barriers is maybe ~15 ft and bordered by rock crib wall on both sides. A portion of the bottom of the box culvert at the outflow is degraded and leaking. Based on a visual assessment only, it could be a velocity-depth barrier at some point in low flows. Potential recommendations were made to add wood plank to one of the openings (river right) to force water to one side during low-flow events and allow passage on either side during high-flow events. "
6c7376c5-52a1-49d1-b97d-5867ba85d5ae,Old Mill Creek Bridge,North Lake Creek,Mill Rd,Stream crossing - OBS,,,,,,,,,,,,,,High,High,Rehabilitation,,
